age_months,L,M,S,p3,p15,p50,p85,p97,mean,sd
0,0.3487,3.3464,0.14602,2.5072754839276676,2.864533658856891,3.3464,3.8781840729389203,4.349896497336354,3.3464,0.48864132800000004
1,0.3487,4.4709,0.13395,3.4345895397806268,3.877871948963012,4.4709,5.120050230604017,5.692014595886715,4.4709,0.5988770550000001
2,0.3487,5.5675,0.12385,4.366684712706043,4.882329168765382,5.5675,6.312416688512106,6.965053262397906,5.5675,0.689534875
3,0.3487,6.3762,0.11727,5.068619157909293,5.63151779810083,6.3762,7.182229041129552,7.885791632239703,6.3762,0.7477369739999999
4,0.3487,6.8955,0.11380333333333334,5.520231391984095,6.113046429964644,6.8955,7.740432354736961,8.476507286829628,6.8955,0.7847308850000001
5,0.3487,7.4148,0.11033666666666667,5.977880547071081,6.598081080024398,7.4148,8.294672274888468,9.05967991195718,7.4148,0.8181243159999999
6,0.3487,7.9341,0.10687,6.44160738774732,7.086634451084963,7.9341,8.844962294378153,9.635354993348654,7.9341,0.847917267
7,0.3487,8.348333333333333,0.1047,6.807709215259396,7.474079688873743,8.348333333333333,9.286612196177652,10.099789640547026,8.348333333333333,0.8740705
8,0.3487,8.762566666666666,0.10253000000000001,7.176856736311717,7.863285274377856,8.762566666666666,9.72629338387577,10.560492451790923,8.762566666666666,0.8984259603333334
9,0.3487,9.1768,0.10036,7.549062749749754,8.254255187519142,9.1768,10.16401006511564,11.017477586825201,9.1768,0.9209836480000001
10,0.3487,9.5163,0.09906333333333334,7.8487978231016,8.571566922548508,9.5163,10.526369077966756,11.398951421425316,9.5163,0.9427163989999999
11,0.3487,9.8558,0.09776666666666667,8.150028329146997,8.8897419460984,9.8558,10.887765151051738,11.778601676078742,9.8558,0.9635687133333334
12,0.3487,10.1953,0.09647,8.452758019183275,9.2087814238259,10.1953,11.248199514719872,12.15643248869326,10.1953,0.9835405909999999
13,0.3487,10.4908,0.09575666666666667,8.71021543479354,9.482948696129315,10.4908,11.565949828472137,12.49299674447641,10.4908,1.0045640386666668
14,0.3487,10.786299999999999,0.09504333333333333,8.968386916118247,9.757528711937836,10.786299999999999,11.88323838266236,12.828685527681634,10.786299999999999,1.0251659063333332
15,0.3487,11.0818,0.09433,9.227273450865237,10.032521778231613,11.0818,12.200065501461493,13.163499928751861,11.0818,1.045346194
16,0.3487,11.346333333333334,0.09394,9.454926157939612,10.276306989094207,11.346333333333334,12.486410902374539,13.468417481410697,11.346333333333334,1.0658745533333334
17,0.3487,11.610866666666666,0.09355000000000001,9.682927243137005,10.52029386435626,11.610866666666666,12.772529932254686,13.772905298858891,11.610866666666666,1.0861965766666668
18,0.3487,11.8754,0.09316,9.91127697055446,10.764482486128404,11.8754,13.058422677879637,14.076963673084602,11.8754,1.1063122640000003
19,0.3487,12.059416666666667,0.09288833333333334,10.070336582789617,10.934470199091363,12.059416666666667,13.257159187097702,14.288212509960847,12.059416666666667,1.120179115138889
20,0.3487,12.243433333333334,0.09261666666666667,10.229565353286512,11.104555738888097,12.243433333333334,13.455786119968032,14.499253498241975,12.243433333333334,1.133945983888889
21,0.3487,12.42745,0.09234500000000001,10.38896337125913,11.274739133245864,12.42745,13.654303505769375,14.710086736413935,12.42745,1.1476128702500001
22,0.3487,12.611466666666667,0.09207333333333334,10.548530725940955,11.445020409895168,12.611466666666667,13.852711373777254,14.920712322943485,12.611466666666667,1.1611797742222223
23,0.3487,12.795483333333333,0.09180166666666667,10.708267506584965,11.615399596569778,12.795483333333333,14.051009753263964,15.131130356278149,12.795483333333333,1.1746466958055557
24,0.3487,12.9795,0.09153,10.868173802463655,11.785876721006703,12.9795,14.249198673498592,15.341340934846274,12.9795,1.188013635
25,0.3487,13.141766666666665,0.09140833333333334,11.006724238433916,11.934777307044866,13.141766666666665,14.42557786020823,15.529781858257996,13.141766666666665,1.2012669880555555
26,0.3487,13.304033333333333,0.09128666666666667,11.14534126364337,12.083716459867187,13.304033333333333,14.601913702200545,15.718140459082928,13.304033333333333,1.2144808562222222
27,0.3487,13.4663,0.091165,11.28402489385878,12.23269418437564,13.4663,14.778206204655906,15.906416754751739,13.4663,1.2276552395
28,0.3487,13.628566666666666,0.09104333333333334,11.422775144848435,12.381710485472452,13.628566666666666,14.954455372754465,16.094610762693534,13.628566666666666,1.2407901378888888
29,0.3487,13.790833333333332,0.09092166666666668,11.561592032382181,12.530765368060115,13.790833333333332,15.130661211676104,16.282722500335943,13.790833333333332,1.253885551388889
30,0.3487,13.9531,0.0908,11.700475572231413,12.679858837041367,13.9531,15.306823726600438,16.470751985105046,13.9531,1.26694148
31,0.3487,14.09985,0.09075833333333334,11.824519139073029,12.813789798562672,14.09985,15.46716460718197,16.642750085486146,14.09985,1.2796788862500001
32,0.3487,14.246599999999999,0.09071666666666667,11.948583269048193,12.94773268599519,14.246599999999999,15.62749204311344,16.81472262166271,14.246599999999999,1.2924040633333334
33,0.3487,14.39335,0.090675,12.072667963827882,13.08168749985863,14.39335,15.787806034944541,16.986669595484916,14.39335,1.3051170112500001
34,0.3487,14.5401,0.09063333333333334,12.196773225083128,13.215654240672713,14.5401,15.948106583224964,17.15859100880289,14.5401,1.3178177300000002
35,0.3487,14.68685,0.09059166666666667,12.320899054485016,13.349632908957174,14.68685,16.10839368850439,17.33048686346668,14.68685,1.3305062195833333
36,0.3487,14.8336,0.09055,12.445045453704692,13.483623505231753,14.8336,16.268667351332486,17.502357161326312,14.8336,1.34318248
37,0.3487,14.96725,0.09056,12.55692361198033,13.604964505972815,14.96725,16.415411979400663,17.66036606270424,14.96725,1.35543416
38,0.3487,15.100900000000001,0.09057,12.668797289451865,13.726302904291735,15.100900000000001,16.56215955068915,17.818380567101322,15.100900000000001,1.367688513
39,0.3487,15.23455,0.09058,12.780666486206858,13.84763870021576,15.23455,16.70891006522681,17.976400674614677,15.23455,1.379945539
40,0.3487,15.3682,0.09059,12.892531202332892,13.968971893772137,15.3682,16.85566352304247,18.134426385341445,15.3682,1.392205238
41,0.3487,15.501850000000001,0.0906,13.004391437917546,14.090302484988122,15.501850000000001,17.002419924164997,18.29245769937877,15.501850000000001,1.4044676100000002
42,0.3487,15.6355,0.09061,13.116247193048379,14.21163047389096,15.6355,17.149179268623236,18.45049461682377,15.6355,1.416732655
43,0.3487,15.758083333333333,0.090655,13.21788996420258,14.322359952595809,15.758083333333333,17.284410496692644,18.596633264651665,15.758083333333333,1.4285490445833333
44,0.3487,15.880666666666666,0.0907,13.319514299856309,14.433078708304997,15.880666666666666,17.419653891833345,18.742795103168202,15.880666666666666,1.4403764666666667
45,0.3487,16.00325,0.09074499999999999,13.421120201634459,14.543786741524352,16.00325,17.55490945458143,18.888980134179157,16.00325,1.45221492125
46,0.3487,16.125833333333333,0.09079,13.522707671161855,14.654484052759711,16.125833333333333,17.69017718547303,19.035188359490377,16.125833333333333,1.4640644083333332
47,0.3487,16.248416666666664,0.090835,13.62427671006329,14.765170642516884,16.248416666666664,17.825457085044256,19.181419780907742,16.248416666666664,1.4759249279166664
48,0.3487,16.371,0.09088,13.72582731996348,14.875846511301688,16.371,17.96074915383125,19.32767440023722,16.371,1.4877964799999999
49,0.3487,16.48443333333333,0.09095,13.818997625961403,14.97779644392683,16.48443333333333,18.086468122235917,19.464012491897165,16.48443333333333,1.4992592116666665
50,0.3487,16.597866666666665,0.09102,13.912141481401074,15.079730968259202,16.597866666666665,18.21220463290212,19.600384061031647,16.597866666666665,1.5107378239999998
51,0.3487,16.7113,0.09109,14.005258889916936,15.181650085430793,16.7113,18.337958687030934,19.736789111687923,16.7113,1.5222323170000003
